primary_key,listing_id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month,date,available,price,adjusted_price
56,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/23/2023,f,$60.00 ,$60.00 
57,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/24/2023,f,$60.00 ,$60.00 
58,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/25/2023,f,$60.00 ,$60.00 
59,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/26/2023,f,$60.00 ,$60.00 
60,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/27/2023,f,$60.00 ,$60.00 
61,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/28/2023,f,$60.00 ,$60.00 
62,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/29/2023,f,$60.00 ,$60.00 
63,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/30/2023,f,$60.00 ,$60.00 
64,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/31/2023,f,$60.00 ,$60.00 
65,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,7/31/2023,f,$120.00 ,$120.00 
66,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/1/2023,f,$120.00 ,$120.00 
67,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/2/2023,f,$120.00 ,$120.00 
68,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/3/2023,f,$120.00 ,$120.00 
69,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/4/2023,f,$120.00 ,$120.00 
70,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/5/2023,f,$120.00 ,$120.00 
71,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/6/2023,f,$120.00 ,$120.00 
72,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/7/2023,f,$120.00 ,$120.00 
73,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/8/2023,f,$120.00 ,$120.00 
74,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/9/2023,f,$120.00 ,$120.00 
75,14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14,8/10/2023,f,$120.00 ,$120.00 
