id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month
54860,https://www.airbnb.com/rooms/54860,Rental unit in New York · ★4.87 · 1 bedroom · 1 bed · 1 private bath,258164,https://www.airbnb.com/users/show/258164,Jenny,10/10/2010,,1,1,40.79934,-73.94236,Private room,2,,1,$125.00 ,5,21,t,285,27,2,10/22/2010,5/17/2023,4.87,1,1.85
187986,https://www.airbnb.com/rooms/187986,Rental unit in New York · 2 bedrooms · 2 beds · 1.5 baths,904833,https://www.airbnb.com/users/show/904833,Daniel,8/1/2011,f,1,1,40.73862,-73.99758,Entire home/apt,4,2,2,$250.00 ,30,1125,f,2,0,0,8/31/2011,8/28/2015,4.5,1,0.01
188674,https://www.airbnb.com/rooms/188674,Rental unit in New York · ★4.87 · 1 bedroom · 1 bed · 1 bath,909234,https://www.airbnb.com/users/show/909234,Leslie,8/2/2011,f,1,2,40.73345,-73.98809,Entire home/apt,2,1,1,$165.00 ,30,730,t,63,0,0,11/27/2011,1/12/2018,4.87,1,0.45
115748,https://www.airbnb.com/rooms/115748,Rental unit in Long Island City · ★4.61 · 1 bedroom · 1 bed · 1 bath,585166,https://www.airbnb.com/users/show/585166,Lilly,5/13/2011,f,1,2,40.76406,-73.92266,Entire home/apt,2,1,1,$110.00 ,5,30,t,40,4,0,9/20/2011,3/31/2023,4.61,1,0.28
55959,https://www.airbnb.com/rooms/55959,Rental unit in Brooklyn · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,168525,https://www.airbnb.com/users/show/168525,Gus,7/16/2010,,2,2,40.71065,-73.95087,Private room,1,,1,$156.00 ,5,60,t,100,6,0,7/28/2013,4/30/2023,4.83,2,0.83
116551,https://www.airbnb.com/rooms/116551,Rental unit in New York · ★4.49 · Studio · 2 beds · 1 bath,497672,https://www.airbnb.com/users/show/497672,Cynthia And  Charlie,4/10/2011,t,1,5,40.80384,-73.95123,Entire home/apt,4,,2,$78.00 ,30,730,t,175,3,1,5/29/2011,5/31/2023,4.49,1,1.2
188803,https://www.airbnb.com/rooms/188803,Rental unit in Brooklyn · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,67778,https://www.airbnb.com/users/show/67778,Doug,1/4/2010,,3,3,40.68915,-73.97686,Private room,2,,1,$90.00 ,2,28,t,33,17,6,8/25/2015,6/1/2023,4.94,3,0.35
189135,https://www.airbnb.com/rooms/189135,Rental unit in New York · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,179020,https://www.airbnb.com/users/show/179020,Michael,7/24/2010,,1,2,40.76263,-73.99401,Private room,2,,1,$151.00 ,2,365,t,122,21,3,3/5/2012,5/28/2023,4.73,1,0.89
208889,https://www.airbnb.com/rooms/208889,Rental unit in Brooklyn · ★4.57 · 2 bedrooms · 2 beds · 1 bath,1029021,https://www.airbnb.com/users/show/1029021,Jameelah,8/28/2011,f,6,8,40.69049,-73.93212,Entire home/apt,4,2,2,$91.00 ,30,180,t,61,3,0,9/24/2011,5/5/2023,4.57,4,0.43
55982,https://www.airbnb.com/rooms/55982,Rental unit in Brooklyn · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,264928,https://www.airbnb.com/users/show/264928,Sally,10/18/2010,,1,1,40.68701,-73.97555,Private room,1,,1,$85.00 ,3,18,t,43,5,0,11/8/2010,1/1/2023,4.74,1,0.28
56859,https://www.airbnb.com/rooms/56859,Rental unit in New York · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,256161,https://www.airbnb.com/users/show/256161,Wayne,10/7/2010,,4,12,40.81201,-73.94452,Private room,2,,1,$74.00 ,3,30,t,260,32,4,12/16/2010,5/22/2023,4.66,4,1.71
209310,https://www.airbnb.com/rooms/209310,Condo in Queens · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,1031148,https://www.airbnb.com/users/show/1031148,Iulia,8/28/2011,,3,5,40.73877,-73.92557,Private room,2,,2,$59.00 ,7,365,t,296,10,0,3/15/2012,4/9/2023,4.9,1,2.17
212109,https://www.airbnb.com/rooms/212109,Rental unit in New York · ★5.0 · 2 bedrooms · 2 beds · 1 shared bath,666271,https://www.airbnb.com/users/show/666271,Susan,6/5/2011,,1,1,40.73814,-74.00811,Private room,1,,2,$89.00 ,30,90,t,12,2,0,11/1/2015,9/13/2022,5,1,0.13
212544,https://www.airbnb.com/rooms/212544,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,1096084,https://www.airbnb.com/users/show/1096084,Daniel,9/1/2011,f,1,1,40.67828,-73.98414,Entire home/apt,3,1,1,$100.00 ,30,60,t,9,0,0,10/28/2011,6/23/2016,4.67,1,0.06
189181,https://www.airbnb.com/rooms/189181,Condo in New York · 2 bedrooms · 2 beds · 1 private bath,912541,https://www.airbnb.com/users/show/912541,David,8/2/2011,,1,6,40.74907,-74.00281,Private room,2,,2,$282.00 ,30,60,t,1,0,0,4/20/2014,4/20/2014,4,1,0.01
189732,https://www.airbnb.com/rooms/189732,Home in Brooklyn · ★4.81 · 3 bedrooms · 5 beds · 1.5 baths,489400,https://www.airbnb.com/users/show/489400,O'Dell,4/6/2011,t,1,2,40.67346,-73.87263,Entire home/apt,8,3,5,$193.00 ,3,29,t,294,29,2,9/17/2011,5/29/2023,4.81,1,2.06
189787,https://www.airbnb.com/rooms/189787,Rental unit in Brooklyn · ★4.64 · 1 bedroom · 1 bed · 1 bath,915640,https://www.airbnb.com/users/show/915640,Sundiata,8/3/2011,f,1,1,40.66941,-73.94988,Entire home/apt,2,1,1,$108.00 ,30,518,t,103,0,0,9/2/2011,1/1/2020,4.64,1,0.72
57166,https://www.airbnb.com/rooms/57166,Rental unit in Astoria · ★4.86 · 1 bedroom · 2 beds · 1 bath,272006,https://www.airbnb.com/users/show/272006,Vasili,10/26/2010,t,14,19,40.772472,-73.906075,Entire home/apt,2,1,2,$151.00 ,3,360,t,134,47,2,11/15/2010,5/24/2023,4.86,1,0.88
190968,https://www.airbnb.com/rooms/190968,Rental unit in Brooklyn · ★4.77 · 1 bedroom · 1 bed · 1 bath,922922,https://www.airbnb.com/users/show/922922,Karen,8/4/2011,f,1,1,40.67914,-73.96443,Entire home/apt,2,1,1,$175.00 ,3,1125,t,37,0,0,9/6/2011,12/28/2019,4.77,1,0.26
213330,https://www.airbnb.com/rooms/213330,Rental unit in New York · ★4.98 · 1 bedroom · 1 bed · 2 baths,800223,https://www.airbnb.com/users/show/800223,Nader,7/10/2011,,1,3,40.71724,-73.99054,Private room,2,,1,$214.00 ,6,1125,t,52,6,1,5/15/2015,5/22/2023,4.98,1,0.53
57297,https://www.airbnb.com/rooms/57297,Rental unit in Brooklyn · ★4.69 · 1 bedroom · 1 bed · 1 bath,199392,https://www.airbnb.com/users/show/199392,S.M.,8/12/2010,f,2,5,40.69003,-73.99338,Entire home/apt,3,1,1,$263.00 ,7,90,t,285,18,0,12/7/2010,4/26/2023,4.69,1,1.87
214917,https://www.airbnb.com/rooms/214917,Guest suite in Staten Island · 1 bedroom · 2 beds · 1 bath,1109658,https://www.airbnb.com/users/show/1109658,Carmel,9/4/2011,f,1,1,40.60742,-74.14388,Entire home/apt,3,1,2,$76.00 ,30,365,f,2,0,0,7/11/2016,2/8/2018,5,1,0.02
190974,https://www.airbnb.com/rooms/190974,Rental unit in Brooklyn · ★4.69 · 1 bedroom · 2 beds · 1 bath,874471,https://www.airbnb.com/users/show/874471,Alan,7/26/2011,t,1,1,40.66836,-73.98166,Entire home/apt,2,1,2,$130.00 ,3,31,t,296,47,5,3/29/2012,5/27/2023,4.69,1,2.17
57618,https://www.airbnb.com/rooms/57618,Rental unit in New York · ★4.83 · 1 bedroom · 1 bed · 1 bath,274557,https://www.airbnb.com/users/show/274557,Ana,10/30/2010,t,1,1,40.76505,-73.98716,Entire home/apt,2,1,1,$250.00 ,4,365,t,131,13,0,6/15/2011,4/18/2023,4.83,1,0.9
191610,https://www.airbnb.com/rooms/191610,Townhouse in New York · ★4.55 · 1 bedroom · 1 bed · 1 private bath,927028,https://www.airbnb.com/users/show/927028,Tony,8/5/2011,,2,3,40.74735,-74.00208,Private room,2,,1,$123.00 ,3,28,t,115,22,2,1/2/2012,5/20/2023,4.55,2,0.83
216080,https://www.airbnb.com/rooms/216080,Home in Brooklyn · ★4.91 · 1 bedroom · 1 bed · 1 private bath,17571,https://www.airbnb.com/users/show/17571,Jane,5/17/2009,,2,2,40.69065713,-73.97352655,Private room,2,,1,$190.00 ,30,1125,t,154,35,1,9/28/2011,5/9/2023,4.91,2,1.08
57754,https://www.airbnb.com/rooms/57754,Loft in New York · ★4.98 · 1 bedroom · 1 bed · 1 bath,275578,https://www.airbnb.com/users/show/275578,R,10/31/2010,t,1,1,40.74166,-73.9866,Entire home/apt,2,1,1,$350.00 ,2,6,t,185,24,2,5/24/2011,5/22/2023,4.98,1,1.26
217580,https://www.airbnb.com/rooms/217580,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 2 beds · 1 bath,1121193,https://www.airbnb.com/users/show/1121193,Samuel,9/7/2011,f,1,3,40.61933,-74.03208,Entire home/apt,2,1,2,$76.00 ,30,1125,t,12,1,1,4/12/2012,5/21/2023,4.67,1,0.09
195123,https://www.airbnb.com/rooms/195123,Rental unit in New York · ★4.60 · 1 bedroom · 1 bed · 1.5 shared baths,940724,https://www.airbnb.com/users/show/940724,Susan,8/8/2011,,1,2,40.83338,-73.94326,Private room,2,,1,$75.00 ,30,365,t,232,0,0,8/22/2011,1/11/2020,4.6,1,1.62
57874,https://www.airbnb.com/rooms/57874,Rental unit in New York · ★4.87 · 1 bedroom · 1 bed · 1 bath,276291,https://www.airbnb.com/users/show/276291,Simon,11/1/2010,t,2,2,40.80747,-73.94076,Entire home/apt,2,1,1,$171.00 ,3,365,t,370,42,3,11/8/2010,5/18/2023,4.87,1,2.42
195989,https://www.airbnb.com/rooms/195989,Rental unit in Brooklyn · ★4.93 · 1 bedroom · 1 bed · 1 private bath,611716,https://www.airbnb.com/users/show/611716,Elizabeth,5/22/2011,,1,2,40.67641,-73.98161,Private room,2,,1,$105.00 ,3,29,t,227,7,1,9/9/2011,5/8/2023,4.93,1,1.59
218358,https://www.airbnb.com/rooms/218358,Rental unit in New York · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,1129218,https://www.airbnb.com/users/show/1129218,Orlando,9/8/2011,,1,1,40.80592,-73.95172,Private room,1,,1,$70.00 ,30,1125,t,28,2,0,1/29/2015,12/31/2022,4.73,1,0.28
58059,https://www.airbnb.com/rooms/58059,Rental unit in New York · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,277379,https://www.airbnb.com/users/show/277379,Agnes,11/3/2010,,2,2,40.8238,-73.94444,Private room,2,,1,$61.00 ,29,1125,t,659,53,3,4/25/2011,5/21/2023,4.71,2,4.47
219066,https://www.airbnb.com/rooms/219066,Rental unit in Brooklyn · ★4.87 · 1 bedroom · 1 bed · 1 bath,447754,https://www.airbnb.com/users/show/447754,Yana,3/17/2011,t,2,7,40.61943,-73.99232,Entire home/apt,2,1,1,$110.00 ,10,365,t,30,1,0,11/7/2011,6/9/2022,4.87,1,0.21
197942,https://www.airbnb.com/rooms/197942,Townhouse in Brooklyn · ★4.81 · 2 bedrooms · 2 beds · 1 bath,289135,https://www.airbnb.com/users/show/289135,Toni,11/16/2010,t,1,1,40.6836,-73.95445,Entire home/apt,2,2,2,$199.00 ,5,1125,t,247,11,3,9/16/2011,5/25/2023,4.81,1,1.73
